City,Latitude,Longitude,Landmark,House of Worship,Pilgrimage,Archaeological Site,Shoreline ,Waterside ,Woods ,Hill Station,Urban Area,Province,State,id
Ajmer,26.45,74.64,Museum Mosque Lake,6,0,16,0,24,0,0,0,Ajmer,Rajasthan,540faa2f8f56b8588166a2f002fffbc2
Akola,20.7,77.01,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Akola,Uttar Pradesh,0926425d0cf103dc15828fba46bec912
Alibag,18.61,72.9,Coast Beach Port Fort Island,0,0,12,20,0,0,0,0,Alibag,Maharashtra,ccac4f5162d9c05a68320811397c1759
Aligarh,27.9,78.09,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Aligarh,Uttar Pradesh,7a3eb487984c1c3c5320d5e07c94a75a
Alipura,25.18,79.35,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Alipura,Madhya pradesh,c71d2cafd2b4a323ab8a24acb7c69df8
Allahabad,25.45,81.84,Fort Monument Hindu Temple Church Museum,1,0,12,0,0,0,0,0,Allahabad,Uttar Pradesh,cb8584fec8b176115ea6d6df0b39a45c
Alleppey,9.5,76.34,Lake Port Church Beach,1,0,0,20,24,0,0,0,Alleppey,Kerala,78d6eb4657722af02cdbcabf1c579fb7
Almora,29.59,79.54,Hill Station Hindu Temple,3,0,0,0,0,0,36,0,Almora,Uttarakhand,3ff8d09ee20d712a0e7a4a55724f5e15
alto porvorim,15.53,73.84,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,alto porvorim,Goa,a2e25cfeb049b1e1e964adb803389837
Alwar,27.56,76.61,Palace Fort Lake Museum Historical Place Wildlife Sanctuary,0,0,16,0,24,32,0,0,Alwar,Rajasthan,b4fea259654031786b80c99d56b91b3b
Amadob,22.68,81.75,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Amadob,Chhattisgarh,5ba047b858e1f66a7a35e796df03edc0
Amarkantak,22.67,81.76,Hindu Temple Hindu Pilgrimage Hills Historical Place River Bank,3,8,10,0,22,0,33,0,Amarkantak,Madhya Pradesh,864cd95241a3fb8e08b2dfd182a36753
Amba,16.97,73.8,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Amba,Karnataka,515928dacc0699ef681a19838d373c8e
Ambaji,24.33,72.85,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Ambaji,Gujarat,adc5a2d1153094c7ba5eb4f6a87a8227
Ambala,30.71,76.84,Hindu Temple,3,0,0,0,0,0,0,0,Ambala,Haryana,657ce5d073eded8214c97611cac163d2
ambalapulai,9.41,76.41,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,ambalapulai,Kerala,3f094a808400c755cfe700f1193b8e3d
ambalavayal,11.62,76.19,Hindu Temple,3,0,0,0,0,0,0,0,ambalavayal,Kerala,8fca673c64460fa5e6eb4034d8c93bb9
Ambikapur,23.14,83.2,Museum Hindu Temple,3,0,16,0,0,0,0,0,Ambikapur,,30328b6ef3f929f87cea53af7f40926d
Amboli,15.96,74,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Amboli,Maharashtra,9dacc8687507e83e070f72dff31a5305
Amravati,20.93,77.77,Lake Historical Place Hindu Temple,3,0,10,0,24,0,0,0,Amravati,Maharashtra,011f59ed56bf2fab0852c9898b7546d9
Amreli,21.6,71.22,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Amreli,Gujarat,24b1b65241547b521a72523b18fe804c
Amritsar,31.64,74.87,GurudwaraHindu Temple Museum,2,0,16,0,0,0,0,0,Amritsar,Punjab,03a80fe05d3084599e82586836eac6cc
Anandpur Sahib,31.18,76.57,River Bank Hills Sikh Pilgrimage,0,9,0,0,22,0,33,0,Anandpur Sahib,Punjab,890ae0898fe887bfcd467ba61d5cac75
Anantapur,14.42,77.73,National Park City,0,0,0,0,0,30,0,38,Anantapur,Andhra Pradesh,d21dc7decafc1a418f6f62e0af099eda
Andaman,11.64,92.74,Island Beach,0,0,0,20,0,0,0,0,Andaman,Indian union territory,465e79646f0dbc5ddd0ec7e32968b8b6
angamali,10.18,76.38,Museum Hindu Temple,3,0,16,0,0,0,0,0,angamali,Kerala,104167923eca904dfd1873df9028db4e
Angamaly,10.17,76.44,Garden Sanctuary,0,0,0,0,0,28,0,0,Angamaly,Kerala,1e1f791887e7739d4a05d4f853dc46d6
Angul,20.84,85.12,Dam Forest Wildlife Sanctuary Palace,0,0,11,0,23,27,0,0,Angul,Orissa,114db7bb58a1c4a00dce9b4fb2e76733
Anjuna,15.58,73.75,Coast Church Beach Market,1,0,0,20,0,0,0,39,Goa,Goa,484eca8229a26e901bed18cfcc572a62
Ankleshwar,21.62,73,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Ankleshwar,GUJARAT,c87f11eddb9d27d90817de4d4a5e6a39
Anklesvar,21.63,73,Hindu Pilgrimage,0,8,0,0,0,0,0,0,Anklesvar,Gujarat,3b10c320be331e961a4cc9a85ce0496a
Annavaram,17.28,82.42,Hills Dam River Bank,0,0,0,0,22,0,33,0,Annavaram,Andhra Pradesh,f8eb540221c8da3606685c62d846642d
Araku Valley,18.34,82.88,Museum Valley,0,0,16,0,0,0,34,0,Araku Valley,Andhra Pradesh,ce66ecdfd2fb8adc5da00c34833afaa9
arambol,15.72,73.69,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,arambol,Goa,ec433839ada7c9a5dbe3d8ae1abbc487
Aritar,27.19,88.67,Lake Waterfalls Monastery Hill Station,5,0,0,0,26,0,36,0,Aritar,Sikkim,05ceb79ce26ef823e7bd4dccfb6b2625
Arpora,15.56,73.76,Market Beach Park,0,0,0,20,0,0,0,39,Goa,Goa,bc5646c85fb0a78606622af9db32167e
Asansol,23.67,86.95,Museum Hindu Temple,3,0,16,0,0,0,0,0,Asansol,West Bengal,132129ae394edc72ebfd1b205317d2d4
Ashoknagar,24.57,77.74,Hindu Temple,3,0,0,0,0,0,0,0,Ashoknagar,Madhya Pradesh,7ec96e09a31eee97d7f8700d01ab0839
Athirapally,10.29,76.52,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Athirapally,Kerala,e980b3393dd99a3981b21765f08c98f1
attibele,12.77,77.77,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,attibele,Karnataka,00052954e28d62f7e1acff66702e456f
attigundi,13.43,75.75,Museum Hindu Temple,3,0,16,0,0,0,0,0,attigundi,Karnataka,71fa16363269c9c893c008a945e62141
Auli,30.53,79.56,Hindu Temple Valley Lake Hindu Piligrimage,3,8,0,0,24,0,34,0,Auli,Uttarakhand,47104ec593d58aedcfbf744278c2e837
Aurangabad,19.86,75.31,Historical Place Cave Fort,0,0,12,0,0,0,0,0,Aurangabad,Maharashtra,935d2d12c3502244214ad803c4bdad39
auroville,12,79.8,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,auroville,Tamil Nadu,cc84eddfa93d049a9dbb17dbca089d85
avathi,13.35,75.7,Hindu Temple,3,0,0,0,0,0,0,0,avathi,Karnataka,4978df68188128e15b60642036e5bad7
Ayodhya,26.81,82.21,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Ayodhya,Uttar Pradesh,76cc85484d5e4fa55040a7dfcf9703c0
Azamgarh,26.05,83.18,Hindu Temple,3,0,0,0,0,0,0,0,Azamgarh,Uttar Pradesh,b2ab56e9ad3932eaf0d79a222f671b1c
Badami,15.92,75.68,Cave Hindu Temple Historical Place,3,0,13,0,0,0,0,0,Badami,Karnataka,f10e312f0cec196094017f267757d9df
Baddi,30.91,76.81,Hill Station Dam,0,0,0,0,23,0,36,0,Baddi,Himachal Pradesh,03fdaf5fb9e048cabdc022615b864465
Badrinath,30.75,79.5,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Badrinath,Uttarakhand,51b9fd9e55bca4c5086e72f74247cd14
badshahpur,28.43,77.11,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,badshahpur,Haryana,7f1f9547ed4f571e00e5a45022523bd7
Baga,15.56,73.75,Beach Coast Market,0,0,0,18,0,0,0,39,Goa,Goa,c06d1fcc696f9b02cec4374969d615f5
Bagalkot,16.18,75.7,Museum Fort Hills,0,0,16,0,0,0,33,0,Bagalkot,Karnataka,bdd13bb3dc9fb2166725646314435ce2
Bagdogra,26.71,88.36,Tea Estate Wildlife Sanctury Museum,0,0,16,0,0,32,37,0,Bagdogra,West Bengal,cc1e4e2f4fe61719d3b268ef40ba7e45
Bageshwar,29.84,79.9,Museum Hindu Temple,3,0,16,0,0,0,0,0,Bageshwar,Uttarakhand,142d287e72bc5f9dddf6d4b33e7bb99e
Bahadurgarh,28.69,76.92,Hill Station Historical Place,0,0,0,0,0,0,36,0,Bahadurgarh,Haryana,3518e7f64bcb3f4b419ed24db0419c52
Baharampur,24.1,88.26,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Baharampur,West Bengal,ce385ca24167e5cb1082a1c0426f80b9
Bahraich,27.95,80.78,River Bank,0,0,0,0,22,0,0,0,Bahraich,Uttar Pradesh,ddb366dc1ed68ada9d3179908545f70b
Baijnath,32.05,76.65,Hindu Temple Monastery,5,0,0,0,0,0,0,0,Baijnath,Himachal Pradesh,02da7b6bab64fa1422446bb8057dc692
bajaura,31.89,77.14,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,bajaura,Himachal Pradesh,0148ad4ebd280388c8247f74924562eb
Bakkhali,21.56,88.27,Beach,0,0,0,20,0,0,0,0,Bakkhali,West Bengal,b76de6efeba2929d7cf7ee4edaa355a2
Balaghat,21.81,80.19,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Balaghat,Madhya Pradesh,03a942cf1bbb88e959ff301ccf761b4d
Balangir,20.71,83.49,Museum Hindu Temple,3,0,16,0,0,0,0,0,Balangir,Odisha,14e040bd8a0f6d98c439fe47172b3361
Balasore,21.5,86.92,Hindu Temple,3,0,0,0,0,0,0,0,Balasore,Odisha,2520a84b5b3c660a08756172a88bc05e
Baleshwar,21.45,87.02,Beach,0,0,0,20,0,0,0,0,Baleshwar,Orissa,09c5f4882ba6af567dc97952b00c9d02
balighai,19.84,85.89,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,balighai,Orissa,fd6b7b815b46ec72c6a52a044882fc03
ballygunge,22.54,88.36,Hindu Temple,3,0,0,0,0,0,0,0,ballygunge,West Bengal,6f52b565db42f6bae67787294a8c7f85
bambolim,15.46,73.88,Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,bambolim,Goa,d5fbb749f0736c9ad50a1da3172a1c27
banar,26.34,73.14,Hindu Temple,3,0,0,0,0,0,0,0,banar,Rajasthan,aac9e5cc852a52952c77614c2149bc7d
Banda,25.48,80.34,River Bank,0,0,0,0,22,0,0,0,Banda,Uttar Pradesh,c26b8761fd8dd65112e42b221f337591
Bandhavgarh,23.65,81.03,Wildlife Sanctuary,0,0,0,0,0,32,0,0,Bandhavgarh,Madhya Pradesh,da5dbaff6539e25879364615461ac27c
Bandikui,27.01,76.61,Hindu Temple,3,0,0,0,0,0,0,0,Bandikui,Rajasthan,7baf3ab9a9e887b67696368b0491028d
Bandipur,11.64,76.67,Wildlife Sanctuary,0,0,0,0,0,32,0,0,Bandipur,Karnataka,a9c6e3ea45a257b08ff976faf8db01c0
Bangalore,12.91,77.58,Garden City,0,0,0,0,0,28,0,38,Bangalore,Karnataka,6b11ae7b16c0ef9b94082304e1a329c1
Banjar,31.63,77.43,Valley,0,0,0,0,0,0,34,0,Banjar,Himachal Pradesh,e10d3f237c972dd2ab59373cdecde3ca
Banka,25.41,87.61,Hills Waterfalls,0,0,0,0,26,0,33,0,Banka,Bihar,bae7184e2a97bffce28bea2aab720573
Bankura,22.96,86.79,Museum Hindu Temple,3,0,16,0,0,0,0,0,Bankura,West Bengal,19645d83694a9a3ae1c2f85956d9b4d3
Banswara,23.55,74.45,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Banswara,Rajasthan,3aaf2f23c278748ec97558e64fbbfaca
bapane,19.33,72.89,Hindu Temple,3,0,0,0,0,0,0,0,bapane,Maharashtra,a0b2cd84eb0c6f4620560e2ecbafc373
bara bazar,22.56,88.35,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,bara bazar,West Bengal,bbbbaec27822a4150206fab6a9276bb8
Baramati,18.21,74.61,Hindu Temple,3,0,0,0,0,0,0,0,Baramati,Maharashtra,c5025be53a3e4b625c58d85799111a00
Baran,25.1,76.5,River Bank Hindu Temple,3,0,0,0,22,0,0,0,Baran,Rajasthan,64cc47574e2ada7887539b110c0e48b1
Barbil,22.11,85.38,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Barbil,Orissa,cfc1334f78b4a3a993235fd7f3e12b3c
barddhaman,23.23,87.85,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,barddhaman,West Bengal,dae2326192b96c08640a866376c561a9
bardez,15.6,73.79,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,bardez,Goa,bc68ac9de62f94012b9e8e30738ebf35
Bardhaman,23.23,87.86,Monument Wildlife Sanctuary,0,0,15,0,0,32,0,0,Bardhaman,West Bengal,939f68800a99a62e9d2935df652c42af
Bareilly,28.34,79.42,Market Hindu Temple Food River Bank,1,0,0,0,22,0,0,41,Bareilly,Uttar Pradesh,4a5cd22ec52d72b67e5f268c4391b0ea
Bargarh,21.35,83.64,Wildlife Sanctuary,0,0,0,0,0,32,0,0,Bargarh,Odisha,a4df44d95553086851c5d7646c9e25b4
Barkot,30.81,78.21,River Bank Hills,0,0,0,0,22,0,33,0,Barkot,Uttarakhand,84a941a6450ff4078c38b67e38f83ee9
barkur,13.44,74.74,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,barkur,Karnataka,3757c3230aa6bc77aa8ca064edba096b
Barmer,25.75,71.41,Fort Hills Historical Place Desert,0,0,10,0,0,0,33,0,Barmer,Rajasthan,8457028879fed0b7aea731be15c1dc8c
Barnala,30.38,75.55,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Barnala,Punjab,cce5ab29399c811a7ce4b5f33b735fe9
Barog,30.89,77.08,Museum Hindu Temple,3,0,16,0,0,0,0,0,Barog,Himachal Pradesh,fa0173f6fc683b8979b547f32672ab9a
Barot,32.04,76.84,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,Barot,,1ea6e88ddfd0b9d2b4e129fbba05ff22
Barwani,21.68,75.09,Monument,0,0,15,0,0,0,0,0,Barwani,Madhya Pradesh,69a86c6b6a58fd3100dd42b0c14a3340
basari,24.82,79.72,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,basari,Madhya Pradesh,6f34f4e47ff4e00e94cd934a1ef0b594
bashist,32.28,77.18,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,bashist,Himachal Pradesh,9faf042ee97a69f467a6009fd28c3f40
Batala,31.81,75.2,Gurudwara Hindu Temple,2,0,0,0,0,0,0,0,Batala,Punjab,8350e2d2f0d01354f14916c0b24920ec
Bathinda,30.21,74.95,Gurudwara Fort Palace Garden,2,0,12,0,0,28,0,0,Bathinda,Punjab,d3be6e52d6854d576e0eb834fcae6dbd
beawar,26.1,74.3,Wildlife Sanctuary,0,0,0,0,0,32,0,0,beawar,Rajasthan,a19a24fc2bf53625d888dc2715b23ce8
Beed,18.92,75.81,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,Beed,Maharashtra,9b080cf7202876c340e1411739ab9787
Begusarai,25.42,86.13,River Bank,0,0,0,0,22,0,0,0,Begusarai,Bihar,d8595194f43605ef70f838da31241b77
behala,22.51,88.3,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,behala,West Bengal,effeafc716f0aeafc572bdc069c12349
Behror,27.9,76.3,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Behror,,de9c2c89bfc0da5e8a174e9a7d7f131f
Bekal,12.23,75.12,Wildlife Sanctuary,0,0,0,0,0,32,0,0,Bekal,Kerala,87c5baecf70f7d98e57e32f3923555d7
Belgaum,15.86,74.52,Fort Jain Temple Mosque,6,0,12,20,0,0,0,0,Belgaum,Karnataka,39ab49659b266e458a54a748aae58a84
Bellary,15.15,76.9,Museum Hindu Temple,3,0,16,0,0,0,0,0,Bellary,Karnataka,17b8f51e8ac38a381580b8e99c6eb605
belparao,29.36,79.24,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,belparao,Uttarakhand,b273e5d167968d8c54359da637e39364
Belur,13.16,75.86,Hindu Temple Historical Place,3,0,10,0,0,0,0,0,Belur,Karnataka,66c412f6af91795d3cc0302cf8d5c5e0
benaulim,15.24,73.95,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,benaulim,Goa,fd29fce99e3b4da298e9854e5c60eb9d
Berhampur,19.31,84.8,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Berhampur,,727d7ac58b584b4cc148a5b352a64b48
betalbatim,15.3,73.91,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,betalbatim,Goa,11681540d6a14fb9f13f29a988e90847
Betul,21.91,77.9,Museum Hindu Temple,3,0,16,0,0,0,0,0,Betul,Madhya Pradesh,7a3b55b90b6abf9e2e8df18065d94a8c
Bhadrachalam,17.67,80.88,Hindu Temple,3,0,0,0,0,0,0,0,Bhadrachalam,Telangana,ff49c265553cbacc0b4e30c64e801986
Bhadrak,21.05,86.49,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,Bhadrak,Odisha,a3772f19ebe59748d545122ba6957cdf
Bhagalpur,25.25,86.98,Wildlife Sanctuary,0,0,0,0,0,32,0,0,Bhagalpur,Bihar,d93f9bd201b6207f3d479555efbd5437
Bhandara,21.18,79.66,Waterfalls Dam Lake Fort Hill Station,0,0,12,0,26,0,36,0,Bhandara,Maharashtra,2d916188457883b6c4568d4be2e10c34
Bhangarh,27.09,76.32,Fort Hindu Temple,3,0,12,0,0,0,0,0,Bhangarh,Rajasthan,a0aa60a46a5ea314bc13b3ada75bb0d1
Bharatpur,27.17,77.29,Museum Wildlife Sanctuary Bird Sanctuary,0,0,16,0,0,31,0,0,Bharatpur,Rajasthan,33aa79a6e41ea6dc46df152e4b0fe9d1
Bharmour,32.44,76.54,Hindu Temple,3,0,0,0,0,0,0,0,Bharmour,Himachal Pradesh,e85b795434e9023831e327e50d610a88
Bharuch,21.73,73.01,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Bharuch,,ebe82e3b6557cf9368f5be4d4e88bf8e
Bhatinda,30.21,74.95,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Bhatinda,Punjab,1006e415fed9f96fa44823acc9bd1fba
bhatkal,13.94,74.65,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,bhatkal,Karnataka,a49e83a248e13cdc7ac015175d28e694
Bhavnagar,21.76,72.15,Palace,0,0,11,0,0,0,0,0,Bhavnagar,Gujarat,e7224534ab8cdb7c8cd5d6000147288f
Bheemeshwari,12.31,77.27,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Bheemeshwari,Karnataka,ac2e8ae60af94ad476f8aff3943c41d9
Bhilai,21.21,81.38,Hindu Temple,3,0,0,0,0,0,0,0,Bhilai,Chhattisgarh,406d697517612fc795267b19207c50f9
Bhilwara,25.32,74.63,Garden Hindu Temple,3,0,0,0,0,28,0,0,Bhilwara,Rajasthan,7c4da77b1cae7eec2d395b928259c624
bhim tal,29.36,79.6,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,bhim tal,Uttarakhand,1e0b1c6fd1a7a8c805f310d28522c1b4
bhimadolu,16.82,81.25,Palace Garden Museum Hindu Temple Park,3,0,16,0,0,28,0,40,bhimadolu,Andhra Pradesh,fbf4953465f24697a4a80332c14ea8ba
bhimashankar,19.08,73.59,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,bhimashankar,Maharashtra,196d4eb6fecf7eff1aefe4e90dc14195
Bhimavaram,15.79,80.21,Hindu Pilgrimage,0,8,0,0,0,0,0,0,Bhimavaram,Andhra Pradesh,255ac073f4ceb10700d058d3a5475b46
Bhimtal,29.37,79.54,Hindu Temple,3,0,0,0,0,0,0,0,Bhimtal,Uttarakhand,e98c98c5731c10db86d87e8748fa3218
Bhiwadi,28.14,76.82,Museum Hindu Temple,3,0,16,0,0,0,0,0,Bhiwadi,Rajasthan,3abe7d16ae7b0f86b9353c736c4ca251
Bhojpur,25.55,84.67,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Bhojpur,Bihar,6af0edafd70a4ca267ea23a8ba261bb8
Bhopal,23.25,77.46,Wildlife Sanctuary Mosque,6,0,0,0,0,32,0,0,Bhopal,Madhya Pradesh,3005b85ca1c8bdbf73ec82967aeb03ab
Bhubaneswar,20.24,85.75,Cave,0,0,13,0,0,0,0,0,Bhubaneswar,Orissa,7ed3588ffc579c6f2a192b233612b383
Bhuj,23.23,69.69,Museum Palace Lake Park Hindu Temple,3,0,16,0,24,0,0,40,Bhuj,Gujarat,dc489e93bec1c8b16fb83179f8dceaf7
bhurtuk,27.37,88.51,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,bhurtuk,Sikkim,bf32ef44413b0160c439e39a61c23ea7
Bhusawal,21.04,75.81,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Bhusawal,Maharashtra,c8c56a9baa7d6e310932fdf449d58192
Biaora,23.92,76.91,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Biaora,Madhya Pradesh,e12f37a29fec183a34ec32f4da9a5dcb
Bidar,17.91,77.5,Museum Hindu Temple,3,0,16,0,0,0,0,0,Bidar,Karnataka,add5d85a632ccefa52f70621e1280b10
Bijapur,16.85,75.71,Monument Fort Historical Place,0,0,10,0,0,0,0,0,Bijapur,Karnataka,dabe88a4992f2eda3b0ae8a7d4cb8f9b
Bijnaur,29.61,78.33,Museum Park Lake,0,0,16,0,24,0,0,40,Bijnaur,Uttar Pradesh,16ca8a73f28908fbcc514c801746d234
bijni,30.07,78.46,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,bijni,Uttarakhand,fd9cb6d7299a2056a3dc1f7e1a002feb
Bikaner,28.02,73.33,Palace Fort,0,0,12,0,0,0,0,0,Bikaner,Rajasthan,0ccbcdea3f39e21a3a300c9bd8eee923
Bilaspur,22.08,82.14,Wildlife Sanctuary Hindu Temple Zoo River Bank,3,0,0,0,22,29,0,0,Bilaspur,Chhattisgarh,5a2fa771794a69a2a6cb58ba5ad7a048
Bina,24.18,78.2,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Bina,Madhya Pradesh,1b3910da76eed73f8f9dd4642d5ce427
Binsar,29.65,79.66,Palace Garden Museum Hindu Temple Park,3,0,11,0,0,28,0,40,Binsar,Uttarakhand,a01c311baeaf59733201a623492c098d
Bir,32.05,76.72,Museum Hindu Temple,3,0,16,0,0,0,0,0,Bir,Himachal Pradesh,6c53c9a9df21fd3a7227c6c2d77b268d
Bodhgaya,24.7,84.97,Hindu Temple Monastery Buddhist Piligrimage,5,7,0,0,0,0,0,0,Bodhgaya,Bihar,6e9c4f9b59161f18f98728f127f45455
Bogmalo,15.37,73.89,Beach Lake Museum,0,0,16,20,24,0,0,0,Goa,Goa,88cd8458e82a166e36ddd82d6e90ba10
Bokaro,23.63,86.17,Park City Zoo Dam,0,0,0,0,23,29,0,38,Bokaro,Jharkhand,e554ef86860e2a0360c840b9f3a42879
bolpur,23.68,87.69,Museum Park Lake,0,0,16,0,24,0,0,40,bolpur,West Bengal,d9f2f5a709f217a3db99d3b7d131e6d2
Bongaigaon,26.48,90.56,Hindu Temple Hill Monument,3,0,15,0,0,0,33,0,Bongaigaon,Assam,7ac5fe124630ec5db4596c8364d05028
Bordi,20.11,72.74,Coast Beach Cave Dam,0,0,13,20,23,0,0,0,Bordi,Maharashtra,ffdff0625ab2cf69508085abb03af544
bori,20.93,79,Museum Park Lake,0,0,16,0,24,0,0,40,bori,Maharashtra,6f7047c79a0742f279fe6be5501139f2
BR Hills,11.99,77.14,Garden Hindu Temple Park Hills,3,0,0,0,0,28,33,40,BR Hills,Karnataka,df13fcaf98a334ac35ea3ce286bcdf11
Budaun,28.13,78.93,Hindu Temple,3,0,0,0,0,0,0,0,Buduan,Uttar Pradesh,d1f35a6f0cf59e6212a9aa4e0551e22f
buin,30.07,80.23,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,buin,Uttarakhand,3da0a854e13435c30c4f25bb81ae1579
Bulandshahar,28.42,77.83,Fort Historical Place Monument,0,0,10,0,0,0,0,0,Bulandshahar,UttarPradesh,39d29df7b8e3275dbe0c3b628d7f9f9b
Buldhana,28.61,77.21,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Buldhana,Maharashtra,469c1b6333e29479bac423dfb7f34a2e
Bundi,25.45,75.64,Historical Place Fort Palace Lake,0,0,12,0,24,0,0,0,Bundi,Rajasthan,4a9bdcd0a5abe1391da561fd07bad393
Burdwan,23.19,88.05,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Burdwan,West Bengal,6bc01f000ee014c5ab8be19bfee5b879
Burhanpur,21.31,76.22,River Bank Fort Mosque Monument,6,0,15,0,22,0,0,0,Burhanpur,Madhya Pradesh,9e2b20425cafa80744cb056c8dbc87d7
Buxar,25.57,83.98,Museum Hindu Temple,3,0,16,0,0,0,0,0,Buxar,Bihar,4eecba31aaae632dd8e1d4490e7dcfa1
